UBIGEO,DEP,PROV,DIST,CODCP,NOMCP,MNOMCP,CAPITAL,CON_IE,NIVEL,CPINEI,CPINEI2,CPINEI_BKP,FUENTE_G,Z,XGD,YGD,Y_X_COORD
100313,HUANUCO,DOS DE MAYO,PACHAS,622406,Meza Pata Grande,MEZA PATA GRANDE,0,0,,1003130160,,1003130160,INEI,3841,-76.88989000000,-9.77681666700,-9.77681666699993-76.88989
100321,HUANUCO,DOS DE MAYO,SHUNQUI,545727,Tucuhuain,TUCUHUAIN,0,0,,1003210038,,1003210038,IGN,3500,-76.82723889000,-9.77176140000,-9.77176139999995-76.82723889
100802,HUANUCO,PACHITEA,CHAGLLA,617483,Chichipara,CHICHIPARA,0,0,,1008020099,,1008020099,INEI,1718,-75.76026998500,-9.71740997800,-9.71740997799998-75.760269985
020201,ANCASH,AIJA,AIJA,124090,Llanqui,LLANQUI,0,1,GP,0202010015,,0202010015,MED-GPS,3674,-77.59683285000,-9.76991528000,-9.76991527999996-77.5968328499999
101107,HUANUCO,YAROWILCA,PAMPAMARCA,523440,Organo Rumi,ORGANO RUMI,0,0,,,,,IGN,3689,-76.73069027000,-9.77164002000,-9.77164001999995-76.73069027
250204,UCAYALI,ATALAYA,YURUA,617152,Bacapishtea,BACAPISHTEA,0,0,,,,,INEI,275,-72.65257815000,-9.77162891000,-9.77162890999995-72.65257815
100322,HUANUCO,DOS DE MAYO,SILLAPATA,246023,Ancahuachanga,ANCAHUACHANGA,0,0,,1003220028,,1003220028,IGN,3610,-76.78489452000,-9.77162665000,-9.77162664999997-76.78489452
101101,HUANUCO,YAROWILCA,CHAVINILLO,513020,Ocshapiteg,OCSHAPITEG,0,0,,1011010005,,1011010005,IGN,4138,-76.55238990000,-9.77155927000,-9.77155926999995-76.5523899
020201,ANCASH,AIJA,AIJA,223192,Pumahuain,PUMAHUAIN,0,0,,0202010013,,0202010013,IGN,3684,-77.58235215000,-9.77128677000,-9.77128676999996-77.58235215
101106,HUANUCO,YAROWILCA,OBAS,537621,Jecchopata,JECCHOPATA,0,0,,1011060055,,1011060055,IGN,3556,-76.67249078000,-9.81143716000,-9.81143715999997-76.67249078
020202,ANCASH,AIJA,CORIS,531451,Pachac,PACHAC,0,0,,0202020049,,0202020049,IGN,3079,-77.72589114000,-9.81131453000,-9.81131452999995-77.72589114
020204,ANCASH,AIJA,LA MERCED,117548,Tiprac / Ticrap,TIPRAC / TICRAP,0,0,,0202040037,,0202040037,IGN,3585,-77.65645303000,-9.74182139000,-9.74182138999993-77.65645303
101107,HUANUCO,YAROWILCA,PAMPAMARCA,521397,Chacapampa,CHACAPAMPA,0,0,,,,,IGN,3125,-76.65874165000,-9.74180653000,-9.74180652999996-76.65874165
100321,HUANUCO,DOS DE MAYO,SHUNQUI,538569,Porogsajircan,POROGSAJIRCAN,0,0,,1003210052,,1003210052,IGN,3645,-76.83042265000,-9.74179916000,-9.74179915999997-76.8304226499999
021710,ANCASH,RECUAY,TICAPAMPA,224895,Canyapampa,CANYAPAMPA,0,0,,,,,IGN,3529,-77.45819540000,-9.74177902000,-9.74177901999997-77.4581954
021701,ANCASH,RECUAY,RECUAY,541164,Ninakaka,NINAKAKA,0,0,,0217010058,,0217010058,IGN,4083,-77.49962928000,-9.72136640000,-9.72136639999997-77.49962928
021710,ANCASH,RECUAY,TICAPAMPA,513537,Plaza Pampa,PLAZA PAMPA,0,0,,,,,IGN,3989,-77.38429476000,-9.72135789000,-9.72135788999998-77.38429476
021701,ANCASH,RECUAY,RECUAY,517594,Challhua,CHALLHUA,0,0,,0217010062,,0217010062,IGN,3421,-77.45147266000,-9.72128677000,-9.72128676999995-77.45147266
100313,HUANUCO,DOS DE MAYO,PACHAS,228611,Intinpunco,INTINPUNCO,0,0,,1003130104,,1003130104,IGN,3678,-76.81494188000,-9.72123203000,-9.72123202999995-76.8149418799999
021701,ANCASH,RECUAY,RECUAY,617806,Marcara Pampa,MARCARA PAMPA,0,0,,0217010056,,0217010056,INEI,3868,-77.47971333300,-9.72595000000,-9.72594999999995-77.479713333
020109,ANCASH,HUARAZ,PAMPAS GRANDE,127495,Acray,ACRAY,0,0,,0201090107,,0201090107,IGN,987,-77.94798589000,-9.72111978000,-9.72111977999998-77.94798589
020202,ANCASH,AIJA,CORIS,623838,Casa Hacienda,CASA HACIENDA,0,0,,0202020047,,0202020047,INEI,3145,-77.73065166700,-9.79302666700,-9.79302666699994-77.730651667
020201,ANCASH,AIJA,AIJA,216223,Mina Mariscal,MINA MARISCAL,0,0,,,,,IGN,4549,-77.51497891000,-9.81095927000,-9.81095926999996-77.51497891
100317,HUANUCO,DOS DE MAYO,RIPAN,621977,Pojpush,POJPUSH,0,0,,1003170042,,1003170042,INEI,3730,-76.83741000000,-9.81135666700,-9.81135666699993-76.83741
020201,ANCASH,AIJA,AIJA,211801,Jarman,JARMAN,0,0,,,,,IGN,3487,-77.60404464000,-9.81089065000,-9.81089064999998-77.60404464
020202,ANCASH,AIJA,CORIS,128462,Huarhua Coto,HUARHUA COTO,0,1,G,0202020045,,0202020045,IGN,3728,-77.77410040000,-9.81078015000,-9.81078014999997-77.7741004
100106,HUANUCO,HUANUCO,QUISQUI (KICHKI),235182,Accopite,ACCOPITE,0,0,,,,,IGN,3831,-76.42251640000,-9.81077965000,-9.81077964999997-76.4225164
020205,ANCASH,AIJA,SUCCHA,225706,Allma,ALLMA,0,0,,,,,IGN,3383,-77.63205052000,-9.81073702000,-9.81073701999998-77.63205052
101106,HUANUCO,YAROWILCA,OBAS,530584,Guegui,GUEGUI,0,0,,1011060052,,1011060052,IGN,3207,-76.65264440000,-9.81073315000,-9.81073314999998-76.6526444
